area,habilidade,competencia,descricao_competencia,descricao_habilidade
CN,22,6,"Apropriar-se de conhecimentos da física para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais."
CN,23,6,"Apropriar-se de conhecimentos da física para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas."
CN,24,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas."
CN,25,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção."
CN,26,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais, identificando transformações químicas ou de energia envolvidas nesses processos."
CN,27,7,"Apropriar-se de conhecimentos da química para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos, observando riscos ou benefícios."
CN,28,8,"Apropriar-se de conhecimentos da biologia para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros."
CN,29,8,"Apropriar-se de conhecimentos da biologia para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Interpretar experimentos ou técnicas que utilizam seres vivos, analisando implicações para o ambiente, a saúde, a produção de alimentos, matérias primas ou produtos industriais."
CN,30,8,"Apropriar-se de conhecimentos da biologia para, em situações problema, interpretar, avaliar ou planejar intervenções científico- tecnológicas.","Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam à preservação e a implementação da saúde individual, coletiva ou do ambiente."
LC,1,1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação.
LC,2,1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.
LC,3,1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.","Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas."
LC,4,1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação.
LC,5,2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,Associar vocábulos e expressões de um texto em LEM ao seu tema.
LC,6,2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas."
LC,7,2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,"Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social."
LC,8,2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística.
LC,9,3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.
LC,10,3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas.
LC,11,3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.","Reconhecer a linguagem corporal como meio de interação social, considerando os limites de desempenho e as alternativas de adaptação para diferentes indivíduos."
LC,12,4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,"Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais."
LC,13,4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,"Analisar as diversas produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos."
LC,14,4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,Reconhecer o valor da diversidade artística e das inter-relações de elementos que se apresentam nas manifestações de vários grupos sociais e étnicos.
LC,15,5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização, estrutura das manifestações, de acordo com as condições de produção e recepção.","Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político."
LC,16,5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização, estrutura das manifestações, de acordo com as condições de produção e recepção.",Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.
LC,17,5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização, estrutura das manifestações, de acordo com as condições de produção e recepção.",Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional.
LC,18,6,"Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade pela constituição de significados, expressão, comunicação e informação.",Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.
LC,19,6,"Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade pela constituição de significados, expressão, comunicação e informação.",Analisar a função da linguagem predominante nos textos em situações específicas de interlocução.
LC,20,6,"Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade pela constituição de significados, expressão, comunicação e informação.",Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.
LC,21,7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,"Reconhecer em textos de diferentes gêneros, recursos verbais e não-verbais utilizados com a finalidade de criar e mudar comportamentos e hábitos."
LC,22,7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,"Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos."
LC,23,7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,"Inferir em um texto quais são os objetivos de seu produtor e quem é seu público alvo, pela análise dos procedimentos argumentativos utilizados."
LC,24,7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,"Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras."
LC,25,8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.","Identificar, em textos de diferentes gêneros, as marcas linguísticas que singularizam as variedades linguísticas sociais, regionais e de registro."
LC,26,8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",Relacionar as variedades linguísticas a situações específicas de uso social.
LC,27,8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação.
LC,28,9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação na sua vida pessoal e social, no desenvolvimento do conhecimento, associando-o aos conhecimentos científicos, às linguagens que lhes dão suporte, às demais tecnologias, aos processos de produção e aos problemas que se propõem solucionar.",Reconhecer a função e o impacto social das diferentes tecnologias da comunicação e informação.
LC,29,9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação na sua vida pessoal e social, no desenvolvimento do conhecimento, associando-o aos conhecimentos científicos, às linguagens que lhes dão suporte, às demais tecnologias, aos processos de produção e aos problemas que se propõem solucionar.","Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação."
LC,30,9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação na sua vida pessoal e social, no desenvolvimento do conhecimento, associando-o aos conhecimentos científicos, às linguagens que lhes dão suporte, às demais tecnologias, aos processos de produção e aos problemas que se propõem solucionar.",Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem.
MT,1,1,"Construir significados para os números naturais, inteiros, racionais e reais.","Reconhecer, no contexto social, diferentes significados e representações dos números e operações - naturais, inteiros, racionais ou reais."
MT,2,1,"Construir significados para os números naturais, inteiros, racionais e reais.",Identificar padrões numéricos ou princípios de contagem.
MT,3,1,"Construir significados para os números naturais, inteiros, racionais e reais.",Resolver situação-problema envolvendo conhecimentos numéricos.
MT,4,1,"Construir significados para os números naturais, inteiros, racionais e reais.",Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas.
MT,5,1,"Construir significados para os números naturais, inteiros, racionais e reais.",Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos.
MT,6,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional.
MT,7,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,Identificar características de figuras planas ou espaciais.
MT,8,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma.
MT,9,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano.
MT,10,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,Identificar relações entre grandezas e unidades de medida.
MT,11,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,Utilizar a noção de escalas na leitura de representação de situação do cotidiano.
MT,12,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,Resolver situação-problema que envolva medidas de grandezas.
MT,13,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,Avaliar o resultado de uma medição na construção de um argumento consistente.
MT,14,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,Avaliar proposta de intervenção na realidade utilizando conhecimentos geométricos relacionados a grandezas e medidas.
MT,15,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,Identificar a relação de dependência entre grandezas.
MT,16,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,"Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais."
MT,17,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação.
MT,18,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,Avaliar propostas de intervenção na realidade envolvendo variação de grandezas.
MT,19,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",Identificar representações algébricas que expressem a relação entre grandezas.
MT,20,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",Interpretar gráfico cartesiano que represente relações entre grandezas.
MT,21,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",Resolver situação-problema cuja modelagem envolva conhecimentos algébricos.
MT,22,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação.
MT,23,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",Avaliar propostas de intervenção na realidade utilizando conhecimentos algébricos.
MT,24,6,"Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas, realizando previsão de tendência, extrapolação, interpolação e interpretação.",Utilizar informações expressas em gráficos ou tabelas para fazer inferências.
MT,25,6,"Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas, realizando previsão de tendência, extrapolação, interpolação e interpretação.",Resolver problema com dados apresentados em tabelas ou gráficos.
MT,26,6,"Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas, realizando previsão de tendência, extrapolação, interpolação e interpretação.",Analisar informações expressas em gráficos ou tabelas como recurso para a construção de argumentos.
MT,27,7,"Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar instrumentos adequados para medidas, determinação de amostras e cálculos de probabilidade para interpretar informações de variáveis apresentadas em uma distribuição estatística.",Calcular medidas de tendência central ou de dispersão de um conjunto de dados expressos em uma tabela de frequências de dados agrupados (não em classes) ou em gráficos.
MT,28,7,"Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar instrumentos adequados para medidas, determinação de amostras e cálculos de probabilidade para interpretar informações de variáveis apresentadas em uma distribuição estatística.",Resolver situação-problema que envolva conhecimentos de estatística e probabilidade.
MT,29,7,"Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar instrumentos adequados para medidas, determinação de amostras e cálculos de probabilidade para interpretar informações de variáveis apresentadas em uma distribuição estatística.",Utilizar conhecimentos de estatística e probabilidade como recurso para a construção de argumentação.
MT,30,7,"Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar instrumentos adequados para medidas, determinação de amostras e cálculos de probabilidade para interpretar informações de variáveis apresentadas em uma distribuição estatística.",Avaliar propostas de intervenção na realidade utilizando conhecimentos de estatística e probabilidade.
